feature,importance,rank,selected
fase_elim_mean_m7_g,0.001908051,181,0
wr_diff_m1_vs_m12_g,0.001907657,182,0
nb_ratio_m5_vs_m12_p,0.0018976475,183,0
cat_ascenso_mean_m36_p,0.0018971157,184,0
liga_pes_mean_m24_p,0.0018967905,185,0
rep_actual_sum_m5_p,0.0018940493,186,0
n_batallas_m12_p,0.0018927436,187,0
fase_rondas_mean_m5_g,0.001880738,188,0
wr_tier_OU_m9_g,0.0018756151,189,0
wr_tier_LC_m36_p,0.0018601216,190,0
pokes_sob_mean_m5_g,0.0018588572,191,0
wr_ratio_m12_vs_m24_p,0.0018508241,192,0
fase_rondas_sum_m12_g,0.0018263428,193,0
wr_tier_NAT DEX_m5_p,0.0018261771,194,0
wr_tier_Free For all Randoms_m9_g,0.0018222725,195,0
pokes_venc_mean_m12_p,0.0018215346,196,0
cat_ascenso_mean_m24_g,0.0018205114,197,0
rep_actual_mean_m3_p,0.0018182081,198,0
fmt_singles_sum_m1_p,0.0018055899,199,0
fmt_vgc_mean_m9_p,0.0018036047,200,0
cat_cypher_mean_m24_p,0.0018015632,201,0
cat_cypher_sum_m3_p,0.0017996248,202,0
wr_tier_DOU_m24_p,0.0017894652,203,0
fmt_singles_sum_m24_g,0.0017828277,204,0
wr_rep_4_m1_p,0.0017817257,205,0
wr_tier_DOU_m18_g,0.001778413,206,0
fase_rondas_mean_m5_p,0.0017726925,207,0
liga_pjs_mean_m36_p,0.0017726861,208,0
fmt_singles_mean_m15_p,0.0017717793,209,0
cat_torneo_mean_m3_p,0.0017709053,210,0
nb_diff_m24_vs_m36_p,0.0017691337,211,0
liga_pss_mean_m24_g,0.0017589554,212,0
fase_elim_mean_m12_g,0.0017585065,213,0
wr_tier_VGC_m15_p,0.001756116,214,0
wr_tier_DOU_m3_p,0.0017503351,215,0
fmt_dobles_mean_m5_p,0.0017469055,216,0
wr_rep_1_m12_g,0.0017426541,217,0
wr_rep_1_m1_p,0.0017321073,218,0
fmt_dobles_sum_m7_p,0.0017313989,219,0
wr_tier_RANDOM SINGLES_m12_p,0.0017266473,220,0
liga_pjs_mean_m36_g,0.0017229145,221,0
pokes_venc_sum_m7_p,0.0017202161,222,0
wr_rep_1_m7_p,0.0017195067,223,0
liga_pjs_sum_m9_g,0.0017183294,224,0
cat_ascenso_mean_m24_p,0.0017181988,225,0
nb_ratio_m24_vs_m36_g,0.0017165033,226,0
rep_actual_mean_m18_g,0.001713116,227,0
wr_tier_NAT DEX DOBLES_m3_p,0.0017128703,228,0
wr_diff_m5_vs_m12_p,0.0017117196,229,0
fase_elim_mean_m1_g,0.0017018324,230,0
cat_ascenso_sum_m5_g,0.0016963276,231,0
wr_tier_BABY RANDOM SINGLES_m5_g,0.0016906926,232,0
winrate_m36_p,0.0016862786,233,0
wr_ratio_m3_vs_m12_g,0.0016852436,234,0
cat_ascenso_mean_m3_g,0.0016850723,235,0
wr_tier_VGC_m15_g,0.0016842514,236,0
liga_pjs_mean_m5_p,0.0016822432,237,0
liga_pms_sum_m18_p,0.0016726787,238,0
fmt_vgc_sum_m15_p,0.0016711868,239,0
cat_ascenso_mean_m9_p,0.0016652038,240,0
wr_ratio_m3_vs_m5_p,0.0016642096,241,0
n_batallas_m7_g,0.00166347,242,0
liga_pms_mean_m15_p,0.0016601373,243,0
ma_ratio_m1_vs_m36_g,0.0016526611,244,0
rep_actual_mean_m5_p,0.0016522241,245,0
fase_grupos_sum_m3_p,0.0016505661,246,0
