player1;player2;winner;league;date;status;round;Formato_esp;replay;Tier;N_Torneo;Formato;Ligas_categoria;Fase_completo;pokemons Sob;pokemon vencidos;Walkover;Match_replays;Generaciones;aka_mundial;Aka_evento
The.Ultracheese;Aikauwu;The.Ultracheese;ASCENSO;2022-07-01;Completed;Semifinal;OU;Replay;OU;3;SINGLES;No Posee Liga;Semifinal;2;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;Aikauwu;Bloody Cheese;ASCENSO;2022-07-01;Completed;Final;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Final;1;6;0;-;9;Fuera_mundial;ASCENSO3
The.Ultracheese;Bloody Cheese;The.Ultracheese;ASCENSO;2022-07-01;Completed;Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Final;1;6;0;-;9;Fuera_mundial;ASCENSO3
The.Ultracheese;Bloody Cheese;The.Ultracheese;ASCENSO;2022-07-01;Completed;Final;OU;Replay;OU;3;SINGLES;No Posee Liga;Final;2;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;The.Ultracheese;Bloody Cheese;ASCENSO;2022-07-01;Completed;Final;DOU;Replay;DOU;3;DOBLES;No Posee Liga;Final;4;6;0;-;9;Fuera_mundial;ASCENSO3
The.Ultracheese;Bloody Cheese;The.Ultracheese;ASCENSO;2022-07-01;Completed;Final;VGC;Replay;VGC;3;VGC;No Posee Liga;Final;4;6;0;-;9;Fuera_mundial;ASCENSO3
Edenking;The.Ultracheese;Edenking;ASCENSO;2022-07-01;Completed;PlayOff;OU;Replay;OU;3;SINGLES;No Posee Liga;PlayOff;4;6;0;-;9;Fuera_mundial;ASCENSO3
Edenking;The.Ultracheese;Edenking;ASCENSO;2022-07-01;Completed;PlayOff;DOU;Replay;DOU;3;DOBLES;No Posee Liga;PlayOff;2;6;0;-;9;Fuera_mundial;ASCENSO3
Edenking;The.Ultracheese;Edenking;ASCENSO;2022-07-01;Completed;PlayOff;VGC;Replay;VGC;3;VGC;No Posee Liga;PlayOff;2;6;0;-;9;Fuera_mundial;ASCENSO3
Jhos;Bloody Cheese;Jhos;ASCENSO;2022-07-01;Completed;PlayOff;OU;Replay;OU;3;SINGLES;No Posee Liga;PlayOff;2;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;Jhos;Bloody Cheese;ASCENSO;2022-07-01;Completed;PlayOff;DOU;Replay;DOU;3;DOBLES;No Posee Liga;PlayOff;4;6;0;-;9;Fuera_mundial;ASCENSO3
Bloody Cheese;Jhos;Bloody Cheese;ASCENSO;2022-07-01;Completed;PlayOff;VGC;Replay;VGC;3;VGC;No Posee Liga;PlayOff;4;6;0;-;9;Fuera_mundial;ASCENSO3
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;walknot;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;1;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;lexodia;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;LABIAMG;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;1;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;walknot;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;lexodia;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;LABIAMG;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;walknot;Angello77;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;3;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;lexodia;Angello77;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;walknot;Angello77;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;LABIAMG;Angello77;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO4
LABIAMG;Angello77;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
LABIAMG;walknot;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
LABIAMG;walknot;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO4
LABIAMG;lexodia;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO4
lexodia;LABIAMG;lexodia;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
lexodia;Angello77;lexodia;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
lexodia;walknot;lexodia;ASCENSO;2023-01-01;Completed;Fase de grupos;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Fase de grupos;3;6;0;-;9;Fuera_mundial;ASCENSO4
walknot;lexodia;walknot;ASCENSO;2023-01-01;Completed;Fase de grupos;OU;Replay;OU;4;SINGLES;No Posee Liga;Fase de grupos;2;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;Alonso26ca;Angello77;ASCENSO;2023-01-01;Completed;Final;OU;Replay;OU;4;SINGLES;No Posee Liga;Final;2;6;0;-;9;Fuera_mundial;ASCENSO4
Angello77;Alonso26ca;Angello77;ASCENSO;2023-01-01;Completed;Final;DOU;Replay;DOU;4;DOBLES;No Posee Liga;Final;2;6;0;-;9;Fuera_mundial;ASCENSO4
Alonso26ca;Angello77;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;4;6;0;-;9;Fuera_mundial;ASCENSO5
Alonso26ca;Jffmm;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;6;6;0;-;9;Fuera_mundial;ASCENSO5
Alonso26ca;O'Fenomenon't;Alonso26ca;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO5
Angello77;Jffmm;Angello77;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;5;6;0;-;9;Fuera_mundial;ASCENSO5
LABIAMG;Alonso26ca;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;6;6;0;-;9;Fuera_mundial;ASCENSO5
LABIAMG;Angello77;LABIAMG;ASCENSO;2023-01-01;Completed;Fase de grupos;VGC;Replay;VGC;5;VGC;No Posee Liga;Fase de grupos;6;6;0;-;9;Fuera_mundial;ASCENSO5
